character,base,reason,face_confidence,head_confidence,derived_box07,derived_box08,accepted
avg_npc_254_1,avg_npc_254_1$1.png,no_avatar_unreported,0.8181,0.8171,"[383, -2, 534, 149]","[383, -2, 534, 149]",True
avg_npc_863_1,avg_npc_863_1$1.png,no_avatar_unreported,0.9996,0.9315,"[477, -12, 672, 182]","[477, -13, 672, 182]",True
avg_npc_414_1,avg_npc_414_1$1.png,no_avatar_unreported,0.9879,0.904,"[417, -10, 590, 164]","[417, -10, 590, 163]",True
avg_npc_1899_1,avg_npc_1899_1$2.png,no_avatar_unreported,0.5409,0.9097,"[489, -10, 710, 211]","[489, -11, 710, 210]",False
avg_npc_1563_1,avg_npc_1563_1$1.png,no_avatar_unreported,0.9941,0.9048,"[446, 10, 639, 203]","[447, 10, 640, 203]",True
avg_npc_489_1,avg_npc_489_1$1.png,no_avatar_unreported,0.9839,0.8228,"[397, 22, 598, 222]","[397, 21, 597, 221]",True
avg_npc_2325_1,avg_npc_2325_1$2.png,no_avatar_unreported,0.9847,0.9039,"[606, 84, 833, 310]","[605, 83, 832, 310]",True
avg_npc_864_1,avg_npc_864_1$1.png,no_avatar_unreported,0.9589,0.8984,"[429, 16, 618, 205]","[428, 15, 618, 205]",True
avg_npc_162,avg_npc_162.png,no_avatar_unreported,0.9892,0.8997,"[417, 53, 580, 216]","[417, 53, 579, 215]",True
avg_npc_965_1,avg_npc_965_1$1.png,no_avatar_unreported,0.8393,0.8627,"[440, 85, 624, 269]","[439, 84, 624, 269]",True
avg_npc_1331_1,avg_npc_1331_1$1.png,no_avatar_unreported,,0.0017,,,False
avg_npc_424_1,avg_npc_424_1$1.png,no_avatar_unreported,,0.0034,,,False
avgnew_2015_dusk_1,avgnew_2015_dusk_1$1.png,no_avatar_unreported,0.9859,0.8894,"[378, 4, 580, 206]","[379, 4, 580, 206]",True
avg_npc_627_1,avg_npc_627_1$2.png,no_avatar_unreported,,0.2735,,,False
avg_npc_080,avg_npc_080.png,no_avatar_unreported,0.9624,0.8926,"[424, 20, 616, 211]","[423, 19, 615, 211]",True
avg_npc_789_1,avg_npc_789_1$1.png,no_avatar_unreported,0.9705,0.9039,"[392, -16, 584, 176]","[393, -16, 584, 175]",True
avg_npc_2040_1,avg_npc_2040_1$4.png,no_avatar_unreported,,0.0237,,,False
avg_npc_1484_1,avg_npc_1484_1$2.png,no_avatar_unreported,0.9995,0.8992,"[454, 26, 658, 231]","[454, 26, 659, 231]",True
avg_npc_901_1,avg_npc_901_1$1.png,no_avatar_unreported,0.3599,0.8901,"[407, 1, 584, 179]","[407, 1, 584, 179]",False
avg_npc_1014_1,avg_npc_1014_1$1.png,no_avatar_unreported,0.0305,0.0857,"[408, 190, 666, 448]","[400, 176, 673, 449]",False
avgnew_455_nothing_1,avgnew_455_nothing_1$1.png,no_avatar_unreported,0.8918,0.8998,"[431, -5, 596, 160]","[430, -6, 596, 159]",True
avg_npc_2235_1,avg_npc_2235_1$1.png,no_avatar_unreported,0.8775,0.838,"[770, 86, 1030, 346]","[769, 85, 1032, 347]",True
avg_npc_087,avg_npc_087.png,no_avatar_unreported,0.9865,0.8881,"[434, 148, 612, 327]","[435, 148, 613, 327]",True
avg_npc_278_1,avg_npc_278_1$1.png,no_avatar_unreported,0.9817,0.9082,"[406, -33, 609, 171]","[407, -32, 610, 171]",True
avg_npc_2107_1,avg_npc_2107_1$1.png,no_avatar_unreported,0.0066,0.1682,"[480, -283, 1046, 284]","[500, -265, 1053, 288]",False
avg_npc_898_1,avg_npc_898_1$2.png,no_avatar_unreported,,0.0164,,,False
avg_npc_1496_1,avg_npc_1496_1$1.png,no_avatar_unreported,0.9811,0.92,"[464, -7, 711, 240]","[463, -8, 711, 240]",True
avg_npc_1840_1,avg_npc_1840_1$1.png,no_avatar_unreported,0.3197,0.8931,"[670, 30, 931, 290]","[670, 29, 932, 291]",False
avg_npc_1967_1,avg_npc_1967_1$1.png,no_avatar_unreported,0.9971,0.9111,"[539, -11, 768, 218]","[538, -12, 768, 218]",True
avg_npc_244,avg_npc_244.png,no_avatar_unreported,0.7077,0.8772,"[412, -10, 575, 153]","[413, -10, 575, 152]",True
avg_npc_2073_1,avg_npc_2073_1$1.png,no_avatar_unreported,0.9749,0.8167,"[435, -15, 629, 180]","[434, -16, 629, 179]",True
avg_npc_2353_1,avg_npc_2353_1$1.png,no_avatar_unreported,0.9926,0.8832,"[439, -7, 647, 202]","[436, -8, 646, 202]",True
avg_npc_298_1,avg_npc_298_1$1.png,no_avatar_unreported,0.9997,0.8525,"[426, 48, 616, 237]","[427, 48, 616, 237]",True
avg_npc_038,avg_npc_038.png,no_avatar_unreported,,0.0156,,,False
avg_npc_355_1,avg_npc_355_1$1.png,no_avatar_unreported,0.9814,0.8952,"[431, 27, 608, 203]","[431, 26, 607, 202]",True
avg_npc_1906_1,avg_npc_1906_1$1.png,no_avatar_unreported,0.3878,0.9036,"[545, -5, 748, 197]","[546, -6, 748, 197]",False
avg_npc_2129_1,avg_npc_2129_1$1.png,no_avatar_unreported,0.8161,0.8088,"[647, 201, 845, 399]","[647, 201, 845, 399]",True
avg_npc_2321_1,avg_npc_2321_1$1.png,no_avatar_unreported,0.9997,0.902,"[383, -16, 621, 222]","[383, -16, 621, 222]",True
avg_npc_222,avg_npc_222.png,no_avatar_unreported,0.6453,0.8864,"[440, 126, 587, 273]","[440, 126, 586, 272]",False
avg_npc_1847_1,avg_npc_1847_1$1.png,no_avatar_unreported,0.9959,0.9192,"[476, 3, 686, 213]","[476, 2, 687, 214]",True
avg_npc_1902_1,avg_npc_1902_1$1.png,no_avatar_unreported,0.9769,0.894,"[711, 50, 943, 283]","[711, 49, 944, 282]",True
avg_npc_1493_1,avg_npc_1493_1$1.png,no_avatar_unreported,0.9941,0.9119,"[343, -1, 529, 185]","[343, -1, 528, 184]",True
avg_npc_758_1,avg_npc_758_1$1.png,no_avatar_unreported,0.9923,0.9103,"[365, -12, 544, 167]","[366, -12, 544, 166]",True
avg_npc_1904_1,avg_npc_1904_1$3.png,no_avatar_unreported,,0.0045,,,False
avg_npc_1834_1,avg_npc_1834_1$1.png,no_avatar_unreported,0.9994,0.8987,"[555, -27, 778, 196]","[554, -27, 779, 197]",True
avg_npc_2357_1,avg_npc_2357_1$2.png,no_avatar_unreported,,0.0073,,,False
avg_npc_246,avg_npc_246.png,no_avatar_unreported,0.5261,0.8902,"[438, -11, 599, 149]","[439, -11, 599, 149]",False
avg_npc_1188_1,avg_npc_1188_1$1.png,no_avatar_unreported,0.816,0.2451,"[11, -72, 278, 195]","[12, -73, 280, 195]",False
avg_npc_2201_1,avg_npc_2201_1$1.png,no_avatar_unreported,,0.578,,,False
avg_npc_660_1,avg_npc_660_1$1.png,no_avatar_unreported,0.9969,0.9139,"[436, -3, 632, 194]","[436, -3, 632, 193]",True
avg_npc_078,avg_npc_078.png,no_avatar_unreported,0.997,0.8952,"[406, 7, 594, 196]","[405, 7, 594, 195]",True
avg_npc_2248_1,avg_npc_2248_1$1.png,no_avatar_unreported,0.9937,0.9033,"[585, -7, 808, 216]","[584, -8, 808, 215]",True
avg_npc_1795_1,avg_npc_1795_1$2.png,no_avatar_unreported,0.9586,0.9072,"[386, 33, 600, 247]","[387, 33, 600, 247]",True
avg_npc_928_1,avg_npc_928_1$1.png,no_avatar_unreported,0.9998,0.9396,"[370, 7, 712, 348]","[372, 7, 713, 349]",True
