character,category,base_file,no_box_reason,face_detected,face_conf,head_detected,head_conf,image_size,match_status,match_threshold,match_box,diff_total,diff_no_box
avg_npc_1965_1,avg,avg_npc_1965_1$1.png,face未检出; head置信度不足(0.673<=0.7),False,,True,0.6727,"[1408, 1408]",,,,4,4
avg_npc_1972_1,avg,avg_npc_1972_1$1.png,face未检出; head置信度不足(0.654<=0.7),False,,True,0.6536,"[1072, 1072]",,,,0,0
avg_npc_1973_1,avg,avg_npc_1973_1$1.png,face未检出,False,,True,0.8354,"[1072, 1072]",,,,0,0
avg_npc_1977_1,avg,avg_npc_1977_1$1.png,face未检出,False,,True,0.907,"[1384, 1384]",,,,0,0
avg_npc_1978_1,avg,avg_npc_1978_1$1.png,face未检出; head未检出,False,,False,,"[1124, 1124]",,,,0,0
avg_npc_1983_1,avg,avg_npc_1983_1$1.png,head置信度不足(0.595<=0.7),True,0.9851,True,0.5954,"[1255, 1255]",,,,10,10
avg_npc_198_1,avg,avg_npc_198_1.png,face置信度不足(0.681<=0.8),True,0.6807,True,0.8963,"[1024, 1024]",,,,5,5
avg_npc_200,avg,avg_npc_200.png,face置信度不足(0.641<=0.8),True,0.641,True,0.8951,"[1024, 1024]",,,,0,0
avg_npc_2007_1,avg,avg_npc_2007_1$1.png,face未检出,False,,True,0.9088,"[1148, 1148]",,,,0,0
avg_npc_201,avg,avg_npc_201.png,face置信度不足(0.647<=0.8),True,0.647,True,0.898,"[1024, 1024]",,,,0,0
avg_npc_202,avg,avg_npc_202.png,face置信度不足(0.709<=0.8),True,0.7085,True,0.9037,"[1024, 1024]",,,,0,0
avg_npc_2033_1,avg,avg_npc_2033_1$1.png,face置信度不足(0.747<=0.8),True,0.7469,True,0.8808,"[1316, 1316]",,,,3,3
avg_npc_2034_1,avg,avg_npc_2034_1$1.png,face未检出; head未检出,False,,False,,"[1176, 1176]",,,,9,9
avg_npc_2035_1,avg,avg_npc_2035_1$1.png,face置信度不足(0.497<=0.8),True,0.4968,True,0.8613,"[1408, 1408]",,,,9,9
avg_npc_2036_1,avg,avg_npc_2036_1$1.png,face未检出; head未检出,False,,False,,"[1648, 1648]",,,,9,9
avg_npc_2038_1,avg,avg_npc_2038_1$1.png,face置信度不足(0.670<=0.8); head置信度不足(0.601<=0.7),True,0.6698,True,0.6007,"[1485, 1485]",,,,11,11
avg_npc_204,avg,avg_npc_204.png,face置信度不足(0.594<=0.8),True,0.5941,True,0.8823,"[1024, 1024]",,,,0,0
avg_npc_2040_1,avg,avg_npc_2040_1$1.png,face未检出; head未检出,False,,False,,"[1048, 1048]",,,,0,0
avg_npc_2040_1,avg,avg_npc_2040_1$2.png,face未检出; head未检出,False,,False,,"[1048, 1048]",,,,0,0
avg_npc_2040_1,avg,avg_npc_2040_1$3.png,face未检出; head未检出,False,,False,,"[1048, 1048]",,,,0,0
avg_npc_2040_1,avg,avg_npc_2040_1$4.png,face未检出; head未检出,False,,False,,"[1048, 1048]",,,,0,0
